9979,2015-10-21 00:00:00.000,16140538,14160242,$349,500,1964,East,4,1,House,Garage, Integrated garage, Other,48 Rue Cedar|Dollard-Des Ormeaux, Quebec H9B1H6,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16140538/48-Rue-Cedar-Dollard-Des-Ormeaux-Quebec-H9B1H6-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT14160242&Lang=E,0,closed,NULL
15863,2015-11-11 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
15941,2015-11-11 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
15794,2015-11-11 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
15831,2015-11-11 00:00:00.000,16325483,19016613,$359,000,1993,Central East,4,1,House,Integrated garage, Garage, Other,16 Av. Augusta|Pointe-Claire, Quebec H9R5V4,Charming Bungalow for sale, A lot of lights. Walking distance to the École Primaire Jubilee and École Saint-Louis, minutes from Parc Northview. Perfect location.,http://www.realtor.ca/Residential/Single-Family/16325483/16-Av-Augusta-Pointe-Claire-Quebec-H9R5V4-Central-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT19016613&Lang=E,0,closed,NULL
23052,2015-11-27 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
23112,2015-11-27 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
24100,2015-12-01 00:00:00.000,16351048,21019764,$249,900,1962,Pierrefonds/Central West,3,1,House,Integrated garage, Garage, Other,15720 Rue du Bosquet|Pierrefonds-Roxboro (Montréal), Quebec H9H1X2,Handyman special with loads of potential in choice location. Light-filled bungalow with 3 bedrooms, huge eat-in kitchen, large windows, bright basement, spacious garage, south-facing backyard. Newer furnace (2012), roof (2008) and electrical panel (2012). Renovate to your taste. Well-priced, good value = tremendous potential.,http://www.realtor.ca/Residential/Single-Family/16351048/15720-Rue-du-Bosquet-Pierrefonds-Roxboro-Montréal-Quebec-H9H1X2-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21019764&Lang=E,0,closed,NULL
24119,2015-12-01 00:00:00.000,15815455,17907826,$275,000,1962,Pierrefonds/Central East,4,2,House,Integrated garage, Other, Garage,12472 Rue Breault|Pierrefonds-Roxboro (Montréal), Quebec H8Z1B4,Well maintained 3 bedroom bungalow and quiet street - great location, steps to the local pool, parks and schools. Hardwood floors throughout (underneath carpet), large fenced backyard with huge deck. 2 full bathrooms, garage, finished basement - a well loved and maintained home - perfect home to move into and update to your own taste.,http://www.realtor.ca/Residential/Single-Family/15815455/12472-Rue-Breault-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1B4-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE%26NoMLS=MT17907826&Lang=E,0,closed,NULL
24147,2015-12-01 00:00:00.000,16046095,21412159,$295,000,1968,Pierrefonds/West,3,2,House,Garage, Integrated garage,4840 Rue Geneviève|Pierrefonds-Roxboro (Montréal), Quebec H9J1S5,Le propriétaire a le droit de vendre par lui même,http://www.realtor.ca/Residential/Single-Family/16046095/4840-Rue-Geneviève-Pierrefonds-Roxboro-Montréal-Quebec-H9J1S5-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21412159&Lang=E,0,closed,NULL
24244,2015-12-01 00:00:00.000,16210987,12369111,$339,000,1975,Central West,4,1,House,Garage,137 Av. Sedgefield|Pointe-Claire, Quebec H9R1N8,IMAGINE a 4 BDRM cottage located steps away from all amenities, offering new windows, new roof, open living room/dining room, 2 wall mounted heat pumps, new garage and front door, private professionally landscaped back and front yard, if you can imagine it you can have it; this home offers you all of the above at a price that wont break the bank.,http://www.realtor.ca/Residential/Single-Family/16210987/137-Av-Sedgefield-Pointe-Claire-Quebec-H9R1N8-Central-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT12369111&Lang=E,0,closed,NULL
24260,2015-12-01 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
24273,2015-12-01 00:00:00.000,15947879,13788783,$350,000,1966,Central,3,1,House,Garage, Integrated garage, Other,297 Rue Blythwood|Dollard-Des Ormeaux, Quebec H9G1V6,Great location near all services. Superb back Split level, well maintained by the owner. On a corner lot in a quit street of DDO.,http://www.realtor.ca/Residential/Single-Family/15947879/297-Rue-Blythwood-Dollard-Des-Ormeaux-Quebec-H9G1V6-Central,http://passerelle.centris.ca/redirect.aspx?CodeDest=VENDIRECT%26NoMLS=MT13788783&Lang=E,0,closed,NULL
24504,2015-12-02 00:00:00.000,16379520,24991489,$319,900,1958,Pierrefonds/Central West,4,2,House,Integrated garage, Garage, Other,4339 Rue Hillsdale|Pierrefonds-Roxboro (Montréal), Quebec H9H2H2,Greendale area split level family home on quiet, traffic free street. Warm and inviting, the home features 3+1 bedrooms, 2 full bathrooms, finished basement with woodstove, A/C,garage, great updates, superb landscaping, covered patio deck, pool, shed, and much more. Zoned for Greendale or Wilder Penfield Schools, this is your family's perfect home.,http://www.realtor.ca/Residential/Single-Family/16379520/4339-Rue-Hillsdale-Pierrefonds-Roxboro-Montréal-Quebec-H9H2H2-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT24991489&Lang=E,0,closed,NULL
24276,2015-12-01 00:00:00.000,16233163,19208307,$350,000,1961,Central,5,2,House,Garage, Other,33 Rue Caruso|Dollard-Des Ormeaux, Quebec H9A1L8,One of DDO's best "hidden treasure" location, original owners, lovingly updated and maintained home, 5 bedrooms in total, on a crescent, mature grounds, a home that can accommodate a growing family.,http://www.realtor.ca/Residential/Single-Family/16233163/33-Rue-Caruso-Dollard-Des-Ormeaux-Quebec-H9A1L8-Central,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT19208307&Lang=E,0,closed,NULL
33305,2016-01-15 00:00:00.000,16437345,18120655,$319,900,1961,Pierrefonds/Central East,4,2,House,Carport, Other,12227 Rue Tilly|Pierrefonds-Roxboro (Montréal), Quebec H8Z1R8,Superbe residence,Condition impeccable,Une visite vous convaincra.,4 chambres,dont une au sous sol,qui,en passant,est totalement renove 2015 (il y a un mois seulement).,grand terrain de 7000 P C.,Immence Cabanon Tout Neuf.,une visite s'impose!.,vous serez conquis!les visites sont tres accessibles les soirs et les fins de semaines.,ou meme le jour.,http://www.realtor.ca/Residential/Single-Family/16437345/12227-Rue-Tilly-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1R8-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT18120655&Lang=E,0,closed,NULL
33305,2016-01-15 00:00:00.000,16437345,18120655,$319,900,1961,Pierrefonds/Central East,4,2,House,Carport, Other,12227 Rue Tilly|Pierrefonds-Roxboro (Montréal), Quebec H8Z1R8,Superbe residence,Condition impeccable,Une visite vous convaincra.,4 chambres,dont une au sous sol,qui,en passant,est totalement renove 2015 (il y a un mois seulement).,grand terrain de 7000 P C.,Immence Cabanon Tout Neuf.,une visite s'impose!.,vous serez conquis!les visites sont tres accessibles les soirs et les fins de semaines.,ou meme le jour.,http://www.realtor.ca/Residential/Single-Family/16437345/12227-Rue-Tilly-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1R8-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT18120655&Lang=E,0,closed,NULL
33311,2016-01-15 00:00:00.000,16482141,23074338,$321,800,1957,Pierrefonds/Central West,4,2,House,Garage, Integrated garage, Other,4265 Rue Sunset|Pierrefonds-Roxboro (Montréal), Quebec H9H2J8,Beautiful turnkey bungalow in great location. This renovated home offers 3+1 bedrooms and 2 full baths. Renovations are Roof, Kitchen, Bathroom and more plus the property backs onto the park that has a pool, Tennis courts, Football field and much more. Great home for a growing family,http://www.realtor.ca/Residential/Single-Family/16482141/4265-Rue-Sunset-Pierrefonds-Roxboro-Montréal-Quebec-H9H2J8-PierrefondsCentral-West,,0,closed,NULL
33343,2016-01-15 00:00:00.000,16437291,14746575,$334,900,1954,Forest Gardens (Central North),4,1,House,Garage, Other,234 Boul. St-Charles|Beaconsfield, Quebec H9W2X5,Spacious 3+1 bedroom bungalow located on 13,500 sq.ft. lot. Open concept living/dining room area with lots of daylight. Original, separate kitchen with dinette. Large, magnificent patio overlooking backyard. Close proximity to various services, schools, train & public transport, highway 20/40. A must see!,http://www.realtor.ca/Residential/Single-Family/16437291/234-Boul-St-Charles-Beaconsfield-Quebec-H9W2X5-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MTOUGAS%26NoMLS=MT14746575&Lang=E,0,closed,NULL
33343,2016-01-15 00:00:00.000,16437291,14746575,$334,900,1954,Forest Gardens (Central North),4,1,House,Garage, Other,234 Boul. St-Charles|Beaconsfield, Quebec H9W2X5,Spacious 3+1 bedroom bungalow located on 13,500 sq.ft. lot. Open concept living/dining room area with lots of daylight. Original, separate kitchen with dinette. Large, magnificent patio overlooking backyard. Close proximity to various services, schools, train & public transport, highway 20/40. A must see!,http://www.realtor.ca/Residential/Single-Family/16437291/234-Boul-St-Charles-Beaconsfield-Quebec-H9W2X5-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MTOUGAS%26NoMLS=MT14746575&Lang=E,0,closed,NULL
33348,2016-01-15 00:00:00.000,16329583,10675450,$339,000,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
33362,2016-01-15 00:00:00.000,16493632,21216520,$340,000,1963,West,4,1,House,Garage, Other,408 Rue Runnymede|Dollard-Des Ormeaux, Quebec H9G1K9,This four bedroom cottage sets on private, child safe crescent like street in family oriented Elm Park area. Walking distance to buses, park/playground with community pool and Fairview Shopping Center. Enter to a closed vestibule. Bright L-shaped living room and dining room with wood floors. Living room features a bow window and...,http://www.realtor.ca/Residential/Single-Family/16493632/408-Rue-Runnymede-Dollard-Des-Ormeaux-Quebec-H9G1K9-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21216520&Lang=E,0,closed,NULL
33366,2016-01-15 00:00:00.000,16444898,12824106,$349,000,1959,Pierrefonds/East,6,2,House,Other, Garage,10405 Rue du Belvédère|Pierrefonds-Roxboro (Montréal), Quebec H8Y2J7,UNE DES PLUS BELLES LOCALISATIONS (comme un croissant et rue privée ) * EXCELLENTE valeur de revente * BIENVENUE au contracteur et investisseur *OPPORTUNITÉ très rare 55 pieds de façade (WOW!) * Presque terrain double 9000pc!!! 6 chambres * Énorme potentiel! * UNE VISITE VOUS CONVAINCRA! *,http://www.realtor.ca/Residential/Single-Family/16444898/10405-Rue-du-Belvédère-Pierrefonds-Roxboro-Montréal-Quebec-H8Y2J7-PierrefondsEast,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT12824106&Lang=E,0,closed,NULL
33415,2016-01-15 00:00:00.000,16493631,20678592,$369,000,1981,Pierrefonds/Central West,3,2,House,,4319 Rue King|Pierrefonds-Roxboro (Montréal), Quebec H9H2E5,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16493631/4319-Rue-King-Pierrefonds-Roxboro-Montréal-Quebec-H9H2E5-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT20678592&Lang=E,0,closed,NULL
33418,2016-01-15 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
33423,2016-01-15 00:00:00.000,16472279,21899441,$374,500,1980,North West,4,1,House,Garage, Other,26 Rue Réginald-Brown|Kirkland, Quebec H9J2Y2,A bright and spacious split on a quiet street with a very large south facing backyard. Near Emile Nelligan and Academie Marie Claire,parks, cinema, restaurants, public transportation and highway 40.,http://www.realtor.ca/Residential/Single-Family/16472279/26-Rue-Réginald-Brown-Kirkland-Quebec-H9J2Y2-North-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=MELLOR%26NoMLS=MT21899441&Lang=E,0,closed,NULL
33362,2016-01-15 00:00:00.000,16493632,21216520,$340,000,1963,West,4,1,House,Garage, Other,408 Rue Runnymede|Dollard-Des Ormeaux, Quebec H9G1K9,This four bedroom cottage sets on private, child safe crescent like street in family oriented Elm Park area. Walking distance to buses, park/playground with community pool and Fairview Shopping Center. Enter to a closed vestibule. Bright L-shaped living room and dining room with wood floors. Living room features a bow window and...,http://www.realtor.ca/Residential/Single-Family/16493632/408-Rue-Runnymede-Dollard-Des-Ormeaux-Quebec-H9G1K9-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21216520&Lang=E,0,closed,NULL
33447,2016-01-15 00:00:00.000,16399860,21724433,$385,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/16399860/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT21724433&Lang=E,0,closed,NULL
17995,2015-11-12 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
18033,2015-11-12 00:00:00.000,16325483,19016613,$359,000,1993,Central East,4,1,House,Integrated garage, Garage, Other,16 Av. Augusta|Pointe-Claire, Quebec H9R5V4,Charming Bungalow for sale, A lot of lights. Walking distance to the École Primaire Jubilee and École Saint-Louis, minutes from Parc Northview. Perfect location.,http://www.realtor.ca/Residential/Single-Family/16325483/16-Av-Augusta-Pointe-Claire-Quebec-H9R5V4-Central-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT19016613&Lang=E,0,closed,NULL
18057,2015-11-12 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
18070,2015-11-12 00:00:00.000,15786183,26918845,$369,900,1973,North West,4,1,House,Garage, Integrated garage, Other,24 Rue Marcel-Meloche|Kirkland, Quebec H9J1K6,Excellent family residence on quiet street, near all services, including many renovations like roof 2007 , electric furnace 2014, windows 2003, all fenced 2002, drain and water connection 2004.,http://www.realtor.ca/Residential/Single-Family/15786183/24-Rue-Marcel-Meloche-Kirkland-Quebec-H9J1K6-North-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT26918845&Lang=E,0,closed,NULL
18099,2015-11-12 00:00:00.000,16122711,14824747,$379,000,1962,Central,5,2,House,Garage, Other,19 Rue Fredmir|Dollard-Des Ormeaux, Quebec H9A2R1,Beautifully maintained & updated split level, great for growing family, 3+2 bedrooms, 2 full bathrooms & mature backyard.,http://www.realtor.ca/Residential/Single-Family/16122711/19-Rue-Fredmir-Dollard-Des-Ormeaux-Quebec-H9A2R1-Central,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT14824747&Lang=E,0,closed,NULL
18131,2015-11-12 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
18322,2015-11-13 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
18384,2015-11-13 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
18458,2015-11-13 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
18169,2015-11-13 00:00:00.000,16237979,27589673,$249,999,1937,Pierrefonds/Central East,3,2,House,Other,12471 Boul. Gouin O.|Pierrefonds-Roxboro (Montréal), Quebec H9A1Z4,Cette propriété est situé dans secteur trés en demande,MIEUX QU'ETRE LOCATAIRE !! proche de tous les services,pensez -y !! 3 chanbres,cuisine concept aire ouverte,terrain de 7500 p2...venez visiter le vendeur est trés motivé,http://www.realtor.ca/Residential/Single-Family/16237979/12471-Boul-Gouin-O-Pierrefonds-Roxboro-Montréal-Quebec-H9A1Z4-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT27589673&Lang=E,0,closed,NULL
14864,2015-11-08 00:00:00.000,16325483,19016613,$359,000,1993,Central East,4,1,House,Integrated garage, Garage, Other,16 Av. Augusta|Pointe-Claire, Quebec H9R5V4,Charming Bungalow for sale, A lot of lights. Walking distance to the École Primaire Jubilee and École Saint-Louis, minutes from Parc Northview. Perfect location.,http://www.realtor.ca/Residential/Single-Family/16325483/16-Av-Augusta-Pointe-Claire-Quebec-H9R5V4-Central-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT19016613&Lang=E,0,closed,NULL
14884,2015-11-08 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
14961,2015-11-08 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
15143,2015-11-09 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
15184,2015-11-09 00:00:00.000,16325483,19016613,$359,000,1993,Central East,4,1,House,Integrated garage, Garage, Other,16 Av. Augusta|Pointe-Claire, Quebec H9R5V4,Charming Bungalow for sale, A lot of lights. Walking distance to the École Primaire Jubilee and École Saint-Louis, minutes from Parc Northview. Perfect location.,http://www.realtor.ca/Residential/Single-Family/16325483/16-Av-Augusta-Pointe-Claire-Quebec-H9R5V4-Central-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=EGPTECH%26NoMLS=MT19016613&Lang=E,0,closed,NULL
15208,2015-11-09 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
15273,2015-11-09 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
